0,0,0,+0.00
1,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
0,0,0,+0.00
40,30,35,-14.29
103,77,92,-16.30
159,120,140,-14.29
207,156,182,-14.29
245,185,215,-13.95
296,224,259,-13.51
335,253,292,-13.36
395,299,342,-12.57
447,338,386,-12.44
499,377,430,-12.33
541,409,465,-12.04
585,442,502,-11.95
606,458,519,-11.75
633,479,540,-11.30
648,490,554,-11.55
639,483,546,-11.54
669,506,571,-11.38
701,530,598,-11.37
722,546,616,-11.36
739,559,629,-11.13
742,561,631,-11.09
743,562,631,-10.94
743,562,631,-10.94
775,586,658,-10.94
815,616,691,-10.85
863,653,731,-10.67
909,688,769,-10.53
968,732,815,-10.18
1014,767,853,-10.08
1067,807,897,-10.03
1117,845,937,-9.82
1161,878,973,-9.76
1228,929,1027,-9.54
1270,961,1063,-9.60
1342,1015,1120,-9.38
1391,1053,1160,-9.22
1465,1109,1220,-9.10
1525,1154,1269,-9.06
1591,1204,1323,-8.99
1645,1245,1367,-8.92
1722,1303,1430,-8.88
1756,1329,1458,-8.85
1805,1366,1499,-8.87
1845,1396,1531,-8.82
1876,1420,1557,-8.80
1927,1458,1600,-8.88
1965,1487,1630,-8.77
2045,1548,1695,-8.67
2132,1613,1768,-8.77
2213,1675,1834,-8.67
2271,1719,1881,-8.61
2323,1758,1923,-8.58
2379,1800,1969,-8.58
2429,1838,2010,-8.56
2495,1888,2063,-8.48
2568,1944,2121,-8.35
2621,1984,2164,-8.32
2667,2018,2201,-8.31
2710,2051,2233,-8.15
2789,2111,2296,-8.06
2855,2161,2348,-7.96
2925,2214,2402,-7.83
3001,2271,2458,-7.61
3087,2336,2524,-7.45
3173,2402,2585,-7.08
3241,2453,2635,-6.91
3293,2492,2671,-6.70
3339,2527,2703,-6.51
3321,2514,2689,-6.51
3335,2524,2700,-6.52
3326,2517,2695,-6.60
3335,2524,2700,-6.52
3379,2557,2730,-6.34
3562,2696,2848,-5.34
3735,2827,2950,-4.17
3911,2960,3042,-2.70
4031,3051,3097,-1.49
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
4095,3100,3123,-0.74
